"DISPLAY_NAME","LABEL_TYPECODE","LPNAME"
"HD Engine Full PCB","EH-1BF","Engine-HD-Full-Prod-PCB"
"HD Engine Full","EH-10F","Engine-HD-Full-Prod"
"HD Engine Half PCB","EH-1BH","Engine-HD-Half-Prod-PCB"
"HD Engine Half","EH-10H","Engine-HD-Half-Prod"
"Scintillator Motherboard PCB","WM-MBB","Scintillator-Motherboard-PCB"
"Scintillator Motherboard","WM-MB0","Scintillator-Motherboard"
"Scintillator Wingboard BH","WM-WBH","Scintillator-Wingboard-BH"
"Scintillator Wingboard FH","WM-WFH","Scintillator-Wingboard-FH"
"120um Si Sensor HD Halfmoon-B","SH-1MBT","120um Si Sensor HD Halfmoon-S"
"120um Si Sensor HD Halfmoon-TL","SH-1MTL","120um Si Sensor HD Halfmoon-NW"
"120um Si Sensor HD Halfmoon-BL","SH-1MBL","120um Si Sensor HD Halfmoon-SW"
"120um Si Sensor HD Halfmoon-BR","SH-1MBR","120um Si Sensor HD Halfmoon-SE"
"120um Si Sensor HD Halfmoon-TR","SH-1MTR","120um Si Sensor HD Halfmoon-NE"
"200um Si Sensor LD Halfmoon-B","SL-2MBT","200um Sensor LD Halfmoon-S"
"200um Si Sensor LD Halfmoon-TL","SL-2MTL","200um Sensor LD Halfmoon-NW"
"200um Si Sensor LD Halfmoon-BL","SL-2MBL","200um Sensor LD Halfmoon-SW"
"200um Si Sensor LD Halfmoon-BR","SL-2MBR","200um Sensor LD Halfmoon-SE"
"200um Si Sensor LD Halfmoon-TR","SL-2MTR","200um Sensor LD Halfmoon-NE"
"300um Si Sensor LD Halfmoon-B","SL-3MBT","300um Si Sensor LD Halfmoon-S"
"300um Si Sensor LD Halfmoon-TL","SL-3MTL","300um Si Sensor LD Halfmoon-NW"
"300um Si Sensor LD Halfmoon-BL","SL-3MBL","300um Si Sensor LD Halfmoon-SW"
"300um Si Sensor LD Halfmoon-BR","SL-3MBR","300um Si Sensor LD Halfmoon-SE"
"300um Si Sensor LD Halfmoon-TR","SL-3MTR","300um Si Sensor LD Halfmoon-NE"
"Cast Scint Tile Module A6","TM-A6FC","Scintillator Cast Tile Module A6"
"Cast Scint Tile Module B11","TM-B1FC","Scintillator Cast Tile Module B11"
"Cast Scint Tile Module B12","TM-B2FC","Scintillator Cast Tile Module B12"
"Cast Scint Tile Module C5","TM-C5FC","Scintillator Cast Tile Module C5"
"Cast Scint Tile Module D8","TM-D8FC","Scintillator Cast Tile Module D8"
"Cast Scint Tile Module E8","TM-E8FC","Scintillator Cast Tile Module E8"
"Cast Scint Tile Module J12","TM-J2FC","Scintillator Cast Tile Module J12"
"Cast Scint Tile Module G3L","TM-G3LC","Scintillator Cast Tile Module G3L"
"Cast Scint Tile Module G3","TM-G3FC","Scintillator Cast Tile Module G3C"
"Cast Scint Tile Module G3R","TM-G3RC","Scintillator Cast Tile Module G3R"
"Cast Scint Tile Module G5L","TM-G5LC","Scintillator Cast Tile Module G5L"
"Cast Scint Tile Module G5","TM-G5FC","Scintillator Cast Tile Module G5C"
"Cast Scint Tile Module G7L","TM-G7LC","Scintillator Cast Tile Module G7L"
"Cast Scint Tile Module G7","TM-G7FC","Scintillator Cast Tile Module G7C"
"Cast Scint Tile Module G7R","TM-G7RC","Scintillator Cast Tile Module G7R"
"Cast Scint Tile Module G8L","TM-G8LC","Scintillator Cast Tile Module G8L"
"Cast Scint Tile Module G8","TM-G8FC","Scintillator Cast Tile Module G8C"
"Cast Scint Tile Module G8R","TM-G8RC","Scintillator Cast Tile Module G8R"
"Cast Scint Tile Module K11L","TM-K1LC","Scintillator Cast Tile Module K11L"
"Cast Scint Tile Module K11","TM-K1FC","Scintillator Cast Tile Module K11"
"Cast Scint Tile Module K11R","TM-K1RC","Scintillator Cast Tile Module K11R"
"Cast Scint Tile Module K6L","TM-K6LC","Scintillator Cast Tile Module K6L"
"Cast Scint Tile Module K6C","TM-K6FC","Scintillator Cast Tile Module K6C"
"Cast Scint Tile Module K6R","TM-K6RC","Scintillator Cast Tile Module K6R"
"Cast Scint Tile Module K12L","TM-K2LC","Scintillator Cast Tile Module K7L"
"Cast Scint Tile Module K12","TM-K2FC","Scintillator Cast Tile Module K7C"
"Cast Scint Tile Module K12R","TM-K2RC","Scintillator Cast Tile Module K7R"
